Name,ActiveCases,Recovered,Death,Total cases,Date
Andaman and Nicobar Islands,70,93,0,163,7/13/2020
Andhra Pradesh,13428,15412,328,29168,7/13/2020
Arunachal Pradesh,219,138,2,359,7/13/2020
Assam,5610,10426,35,16071,7/13/2020
Bihar,5001,11498,143,16642,7/13/2020
Chandigarh,134,417,8,559,7/13/2020
Chhattisgarh,887,3153,19,4059,7/13/2020
Dadra and Nagar Haveli and Daman and Diu,234,245,0,479,7/13/2020
Delhi,19155,89968,3371,112494,7/13/2020
Goa,952,1487,14,2453,7/13/2020
Gujarat,10613,29162,2045,41820,7/13/2020
Haryana,4956,15983,301,21240,7/13/2020
Himachal Pradesh,273,929,11,1213,7/13/2020
Jammu and Kashmir,4355,5979,179,10513,7/13/2020
Jharkhand,1418,2308,30,3756,7/13/2020
Karnataka,22750,15409,684,38843,7/13/2020
Kerala,3747,4095,31,7873,7/13/2020
Ladakh,157,928,1,1086,7/13/2020
Madhya Pradesh,4103,12876,653,17632,7/13/2020
Maharashtra,103813,140325,10289,254427,7/13/2020
Manipur,713,896,0,1609,7/13/2020
Meghalaya,238,66,2,306,7/13/2020
Mizoram,81,150,0,231,7/13/2020
Nagaland,447,327,0,774,7/13/2020
Odisha,4307,8750,64,13121,7/13/2020
Puducherry,661,739,18,1418,7/13/2020
Punjab,2230,5392,199,7821,7/13/2020
Rajasthan,5779,18103,510,24392,7/13/2020
Sikkim,72,81,0,153,7/13/2020
Tamil Nadu,46972,89532,1966,138470,7/13/2020
Telangana,11833,22482,356,34671,7/13/2020
Tripura,631,1421,2,2054,7/13/2020
Uttar Pradesh,12208,23334,934,36476,7/13/2020
Uttarakhand,704,2786,47,3537,7/13/2020
West Bengal,10500,18581,932,30013,7/13/2020
Andaman and Nicobar Islands,57,109,0,166,7/14/2020
Andhra Pradesh,14274,16464,365,31103,7/14/2020
Arunachal Pradesh,240,145,2,387,7/14/2020
Assam,5876,10894,36,16806,7/14/2020
Bihar,5482,12317,160,17959,7/14/2020
Chandigarh,157,423,8,588,7/14/2020
Chhattisgarh,996,3202,19,4217,7/14/2020
Dadra and Nagar Haveli and Daman and Diu,226,268,1,495,7/14/2020
Delhi,19017,91312,3411,113740,7/14/2020
Goa,1026,1540,17,2583,7/14/2020
Gujarat,10897,29770,2055,42722,7/14/2020
Haryana,4984,16602,308,21894,7/14/2020
Himachal Pradesh,292,940,11,1243,7/14/2020
Jammu and Kashmir,4545,6095,187,10827,7/14/2020
Jharkhand,1514,2351,33,3898,7/14/2020
